,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
198,2020-12-24,644.155067932533,554.1720658993502,733.8011913910542,644.155067932533,644.155067932533,-3.8435786953194975,-3.8435786953194975,-3.8435786953194975,-3.8435786953194975,-3.8435786953194975,-3.8435786953194975,0.0,0.0,0.0,640.3114892372136
199,2020-12-28,654.5829785910034,562.551972338648,729.9938468498619,654.5829785910034,654.5829785910034,-5.864684727310118,-5.864684727310118,-5.864684727310118,-5.864684727310118,-5.864684727310118,-5.864684727310118,0.0,0.0,0.0,648.7182938636934
200,2020-12-29,657.04006383239,567.6462760936545,739.5345622223916,657.04006383239,657.04006383239,-2.383379579206452,-2.383379579206452,-2.383379579206452,-2.383379579206452,-2.383379579206452,-2.383379579206452,0.0,0.0,0.0,654.6566842531836
201,2020-12-30,659.4971490737765,572.7695272192474,742.0993580563137,659.4971490737765,659.4971490737765,-3.4943599920820634,-3.4943599920820634,-3.4943599920820634,-3.4943599920820634,-3.4943599920820634,-3.4943599920820634,0.0,0.0,0.0,656.0027890816945
202,2020-12-31,661.954234315163,572.9093609669152,744.1274414825425,661.954234315163,661.954234315163,-3.843578695296018,-3.843578695296018,-3.843578695296018,-3.843578695296018,-3.843578695296018,-3.843578695296018,0.0,0.0,0.0,658.110655619867
203,2021-01-04,671.7825752807092,581.0265340841171,750.2740997313723,671.7825752807092,671.7825752807092,-5.864684727323044,-5.864684727323044,-5.864684727323044,-5.864684727323044,-5.864684727323044,-5.864684727323044,0.0,0.0,0.0,665.9178905533862
204,2021-01-05,674.2396605220957,578.0742410215197,751.0916796692433,674.2396605220957,674.2396605220957,-2.383379579210694,-2.383379579210694,-2.383379579210694,-2.383379579210694,-2.383379579210694,-2.383379579210694,0.0,0.0,0.0,671.8562809428851
205,2021-01-06,676.6967457634823,589.1579431090202,764.2891731790626,676.6967457634823,676.6967457634823,-3.4943599920788992,-3.4943599920788992,-3.4943599920788992,-3.4943599920788992,-3.4943599920788992,-3.4943599920788992,0.0,0.0,0.0,673.2023857714034
206,2021-01-07,679.1538310048688,590.0272525754402,766.4701819649046,679.1538310048688,679.1538310048688,-3.843578695294839,-3.843578695294839,-3.843578695294839,-3.843578695294839,-3.843578695294839,-3.843578695294839,0.0,0.0,0.0,675.310252309574
207,2021-01-08,681.6109162462553,586.9686530086633,762.1971533795662,681.6109162462553,681.6109162462553,-7.762546552065331,-7.762546552065331,-7.762546552065331,-7.762546552065331,-7.762546552065331,-7.762546552065331,0.0,0.0,0.0,673.84836969419
208,2021-01-11,688.982171970415,594.248884534197,773.2776749023187,688.982171970415,688.982171970415,-5.8646847272897595,-5.8646847272897595,-5.8646847272897595,-5.8646847272897595,-5.8646847272897595,-5.8646847272897595,0.0,0.0,0.0,683.1174872431253
